2024-01-02 21:32:18 [root][INFO] 29666(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:46:16 [root][INFO] 32401(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:46:51 [root][INFO] 32722(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:49:36 [root][INFO] 1323(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:50:07 [root][INFO] 1573(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-02 21:51:00 [root][INFO] 1573(Trluper-0) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.20.25.130已断开链接

2024-01-03 18:24:48 [root][INFO] 12223(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-03 18:24:56 [root][INFO] 12227(Trluper-4) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.20.25.130已断开链接

2024-01-03 18:25:00 [root][INFO] 12224(Trluper-1) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-03 18:25:10 [root][INFO] 12223(Trluper-0) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.20.25.130已断开链接

2024-01-04 11:13:31 [root][INFO] 27134(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-04 11:13:31 [root][INFO] 27134(Trluper-0) /home/project/Trluper/src/connections.cc (in Connections: 13):  TEST 

2024-01-04 11:21:46 [root][INFO] 29129(Trluper-0) /home/project/Trluper/src/server.cc (in ctlAcceptFd: 261): 新的客户端连接,ip：172.20.25.130

2024-01-04 11:21:52 [root][INFO] 29133(Trluper-4) /home/project/Trluper/src/server.cc (in ctlCloseFd: 297): 客户端ip：172.20.25.130已断开链接

